time,               Tsurf,              Psurf,              PH2O,               PH2,                PCO,                PCH4                
0.000000e+00,       2.000000e+03,       2.670135e+02,       2.654099e+02,       4.618971e-01,       3.209946e-03,       5.223199e-14        
9.053674e+07,       1.990000e+03,       2.670135e+02,       2.654099e+02,       4.618971e-01,       3.209946e-03,       5.223199e-14        
1.818928e+08,       1.980000e+03,       2.670135e+02,       2.654265e+02,       4.533204e-01,       3.125886e-03,       5.146884e-14        
2.740813e+08,       1.970000e+03,       2.670135e+02,       2.654420e+02,       4.453815e-01,       3.046959e-03,       5.096597e-14        
3.671175e+08,       1.960000e+03,       2.670135e+02,       2.654564e+02,       4.380575e-01,       2.972918e-03,       5.071882e-14        
4.610176e+08,       1.950000e+03,       2.670135e+02,       2.654696e+02,       4.313240e-01,       2.903508e-03,       5.072484e-14        
5.557977e+08,       1.940000e+03,       2.670135e+02,       2.654818e+02,       4.251548e-01,       2.838467e-03,       5.098346e-14        
6.514748e+08,       1.930000e+03,       2.670135e+02,       2.654930e+02,       4.195225e-01,       2.777527e-03,       5.149604e-14        
7.480660e+08,       1.920000e+03,       2.670135e+02,       2.655033e+02,       4.143982e-01,       2.720419e-03,       5.226585e-14        
8.455893e+08,       1.910000e+03,       2.670135e+02,       2.655127e+02,       4.097523e-01,       2.666872e-03,       5.329810e-14        
9.440628e+08,       1.900000e+03,       2.670135e+02,       2.655212e+02,       4.055543e-01,       2.616615e-03,       5.459995e-14        
1.043505e+09,       1.890000e+03,       2.670135e+02,       2.655290e+02,       4.017734e-01,       2.569382e-03,       5.618060e-14        
1.143937e+09,       1.880000e+03,       2.670135e+02,       2.655360e+02,       3.983789e-01,       2.524914e-03,       5.805135e-14        
1.245376e+09,       1.870000e+03,       2.670135e+02,       2.655423e+02,       3.953404e-01,       2.482958e-03,       6.022572e-14        
1.347845e+09,       1.860000e+03,       2.670135e+02,       2.655480e+02,       3.926284e-01,       2.443275e-03,       6.271963e-14        
1.451364e+09,       1.850000e+03,       2.670135e+02,       2.655532e+02,       3.902141e-01,       2.405636e-03,       6.555152e-14        
1.555954e+09,       1.840000e+03,       2.670135e+02,       2.655578e+02,       3.880702e-01,       2.369826e-03,       6.874261e-14        
1.661640e+09,       1.830000e+03,       2.670135e+02,       2.655619e+02,       3.861709e-01,       2.335646e-03,       7.231713e-14        
1.768443e+09,       1.820000e+03,       2.670135e+02,       2.655656e+02,       3.844917e-01,       2.302911e-03,       7.630260e-14        
1.876388e+09,       1.810000e+03,       2.670135e+02,       2.655689e+02,       3.830100e-01,       2.271451e-03,       8.073018e-14        
1.985500e+09,       1.800000e+03,       2.670135e+02,       2.655719e+02,       3.817051e-01,       2.241112e-03,       8.563503e-14        
2.095803e+09,       1.790000e+03,       2.670135e+02,       2.655745e+02,       3.805576e-01,       2.211754e-03,       9.105674e-14        
2.207325e+09,       1.780000e+03,       2.670135e+02,       2.655768e+02,       3.795502e-01,       2.183252e-03,       9.703984e-14        
2.320093e+09,       1.770000e+03,       2.670135e+02,       2.655789e+02,       3.786670e-01,       2.155493e-03,       1.036343e-13        
2.434135e+09,       1.760000e+03,       2.670135e+02,       2.655808e+02,       3.778938e-01,       2.128378e-03,       1.108963e-13        
