time (s),           Tsurf (K),          Psurf (bar),        PH2O (bar),         PH2 (bar),          PCO (bar),          PCH4 (bar)          
0.000000e+00,       2.000000e+03,       2.670467e+02,       2.654654e+02,       4.335263e-01,       3.013935e-03,       4.054082e-14        
9.053841e+07,       1.990000e+03,       2.670467e+02,       2.654654e+02,       4.335263e-01,       3.013935e-03,       4.054082e-14        
1.818962e+08,       1.980000e+03,       2.670467e+02,       2.654829e+02,       4.243788e-01,       2.927447e-03,       3.953789e-14        
2.740862e+08,       1.970000e+03,       2.670467e+02,       2.654993e+02,       4.158701e-01,       2.846172e-03,       3.874876e-14        
3.671240e+08,       1.960000e+03,       2.670467e+02,       2.655146e+02,       4.079812e-01,       2.769889e-03,       3.816633e-14        
4.610254e+08,       1.950000e+03,       2.670467e+02,       2.655287e+02,       4.006917e-01,       2.698370e-03,       3.778529e-14        
5.558069e+08,       1.940000e+03,       2.670467e+02,       2.655418e+02,       3.939796e-01,       2.631377e-03,       3.760195e-14        
6.514852e+08,       1.930000e+03,       2.670467e+02,       2.655539e+02,       3.878212e-01,       2.568669e-03,       3.761431e-14        
7.480776e+08,       1.920000e+03,       2.670467e+02,       2.655650e+02,       3.821913e-01,       2.509997e-03,       3.782189e-14        
8.456018e+08,       1.910000e+03,       2.670467e+02,       2.655751e+02,       3.770635e-01,       2.455105e-03,       3.822582e-14        
9.440763e+08,       1.900000e+03,       2.670467e+02,       2.655844e+02,       3.724099e-01,       2.403739e-03,       3.882872e-14        
1.043520e+09,       1.890000e+03,       2.670467e+02,       2.655929e+02,       3.682019e-01,       2.355640e-03,       3.963479e-14        
1.143952e+09,       1.880000e+03,       2.670467e+02,       2.656005e+02,       3.644101e-01,       2.310553e-03,       4.064981e-14        
1.245392e+09,       1.870000e+03,       2.670467e+02,       2.656075e+02,       3.610050e-01,       2.268227e-03,       4.188116e-14        
1.347861e+09,       1.860000e+03,       2.670467e+02,       2.656138e+02,       3.579572e-01,       2.228416e-03,       4.333794e-14        
1.451381e+09,       1.850000e+03,       2.670467e+02,       2.656194e+02,       3.552376e-01,       2.190885e-03,       4.503103e-14        
1.555972e+09,       1.840000e+03,       2.670467e+02,       2.656245e+02,       3.528178e-01,       2.155409e-03,       4.697325e-14        
1.661658e+09,       1.830000e+03,       2.670467e+02,       2.656291e+02,       3.506709e-01,       2.121774e-03,       4.917948e-14        
