time,               Tsurf,              Psurf,              PH2O,               PH2,                PCO,                PCH4                
0.000000e+00,       2.000000e+03,       2.673420e+02,       2.658571e+02,       2.471788e-01,       1.722769e-03,       4.288770e-15        
9.056484e+07,       1.990000e+03,       2.673420e+02,       2.658571e+02,       2.471788e-01,       1.722769e-03,       4.288770e-15        
1.819493e+08,       1.980000e+03,       2.673420e+02,       2.658797e+02,       2.348765e-01,       1.624349e-03,       3.713750e-15        
2.741656e+08,       1.970000e+03,       2.673420e+02,       2.659013e+02,       2.230768e-01,       1.530627e-03,       3.211435e-15        
3.672294e+08,       1.960000e+03,       2.673420e+02,       2.659220e+02,       2.117644e-01,       1.441433e-03,       2.773226e-15        
4.611564e+08,       1.950000e+03,       2.673420e+02,       2.659418e+02,       2.009244e-01,       1.356597e-03,       2.391466e-15        
5.559631e+08,       1.940000e+03,       2.673420e+02,       2.659607e+02,       1.905421e-01,       1.275954e-03,       2.059346e-15        
6.516660e+08,       1.930000e+03,       2.673420e+02,       2.659787e+02,       1.806028e-01,       1.199345e-03,       1.770818e-15        
7.482826e+08,       1.920000e+03,       2.673420e+02,       2.659960e+02,       1.710925e-01,       1.126612e-03,       1.520516e-15        
8.458306e+08,       1.910000e+03,       2.673420e+02,       2.660125e+02,       1.619973e-01,       1.057602e-03,       1.303689e-15        
9.443283e+08,       1.900000e+03,       2.673420e+02,       2.660282e+02,       1.533034e-01,       9.921663e-04,       1.116135e-15        
1.043794e+09,       1.890000e+03,       2.673420e+02,       2.660431e+02,       1.449974e-01,       9.301594e-04,       9.541406e-16        
1.144248e+09,       1.880000e+03,       2.673420e+02,       2.660574e+02,       1.370663e-01,       8.714401e-04,       8.144316e-16        
1.245710e+09,       1.870000e+03,       2.673420e+02,       2.660710e+02,       1.294972e-01,       8.158709e-04,       6.941245e-16        
1.348200e+09,       1.860000e+03,       2.673420e+02,       2.660840e+02,       1.222774e-01,       7.633181e-04,       5.906833e-16        
1.451739e+09,       1.850000e+03,       2.673420e+02,       2.660963e+02,       1.153947e-01,       7.136518e-04,       5.018811e-16        
1.556350e+09,       1.840000e+03,       2.673420e+02,       2.661080e+02,       1.088371e-01,       6.667459e-04,       4.257655e-16        
1.662055e+09,       1.830000e+03,       2.673420e+02,       2.661191e+02,       1.025927e-01,       6.224782e-04,       3.606270e-16        
1.768877e+09,       1.820000e+03,       2.673420e+02,       2.661297e+02,       9.665000e-02,       5.807301e-04,       3.049718e-16        
